source,article_url,title,date,shortened_full_text,sentiment_label,sentiment_score
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/5/28/well-wishes-pour-in-as-erdogan-emerges-victorious-in-elections,World leaders congratulate Turkey’s Erdogan on election win,02:40,"All eyes were on NATO member Turkey ahead of its pivotal poll as Erdogan fended off the biggest challenge to his rule. World leaders have congratulated Turkish President Recep Tayyip Erdogan after he won re-election in a historic run-off that posed the biggest challenge to his 20 years in power. Erdogan won Turkey’s presidency with 52.14 percent of the votes, said the head of the Supreme Election Council, Ahmet Yener, on Sunday, making the results official. The elections, in which more than 64 million Turks at home and abroad were entitled to vote, took place against a background of a cost-of-living crisis that saw inflation peak at 85 percent in October and earthquakes in February that killed more than 50,000 people. NATO member Turkey’s longest-serving leader was tested like never before in what was widely seen as the country’s most consequential election in its 100-year history as a post-Ottoman republic. Maulvi Abdul Kabir, the caretaker prime minister, said: “I congratulate President Erdogan on winning the Turkish election and on being elected president of Turkey.” Brazilian President Luiz Inacio Lula da Silva wished Erdogan a “good term with a lot of work” for the Turkish people. French President Emmanuel Macron said France and Turkey “will continue to move forward”. “France and Turkey have huge challenges to face together. Iran’s President Ebrahim Raisi called Erdogan’s re-election “a sign of continued valuable trust of Turkish people”. “Our relationship with Turkey in the next stage will continue on the basis of good neighbourliness and shared interests,” he added. Libyan Prime Minister Abdul Hamid Dbeibah described Erdogan’s “election victory” as a renewal of the Turkish people’s confidence in the president’s successful projects and policies. Dbeibah’s Tripoli-based Government of National Unity is backed by Turkey against an eastern-based rival government. Palestinian Prime Minister Mohammad Shtayyeh lauded Erdogan and the Turkish people for their “election victory”. The head of Hamas’s political office Ismail Haniyeh said: “I congratulate President Erdogan on winning and I applaud the [Turkish] people’s civilised stance.",POSITIVE,0.9976089000701904
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/5/22/turkeys-camlica-mosque-ottoman-heritage-or-modern-nationalism,Turkey’s Camlica Mosque: Ottoman heritage or modern nationalism?,22 May 2023,"Traditionally linked to secular republicanism, Turkish nationalism may be changing with Erdogan’s Ottoman-inspired mosque. Istanbul, Turkey – Istanbul’s skyline has been rapidly transforming over the years as towering new skyscrapers pop up and expansive bridges connect the metropolis that spans two continents. Since 2019, Grand Camlica Mosque – which stretches over 57,500sq metres (620,000sq feet) and has six minarets and a towering central dome – has been the most visible structure on the Anatolian side of Turkey’s cultural capital. Perched on the hill after which it is named, the now-largest mosque in Turkey opened its doors to the public on March 7, 2019, as a place of worship as well as a symbol of state pride and Turkish national identity. Since the establishment of the modern republic by Mustafa Kemal Ataturk in 1923, Turkish nationalism has been largely defined by secular symbols that lean away from religion and the country’s Ottoman past. As president of the early republic, Ataturk outlawed the fez and turban – two forms of Ottoman male headgear – and later the headscarf was banned in state institutions. He also transformed the Turkish language from Arabic to Latin script, moved the capital city from the Ottoman epicentre of Constantinople – later known as Istanbul – to a newly established Ankara, and replaced religious courts with a European-inspired legal system. Although the “headscarf ban” was notably overturned by the ruling Justice and Development Party (AK Party), which came to power 20 years ago, religious symbols have remained distinct from the secular Turkish state. Yet, Camlica Mosque reflects how Turkish President Recep Tayyip Erdogan has attempted to challenge the secular narrative of Turkish nationalism by attempting to connect state pride to an Ottoman past and an Islamic heritage. “The main objective of the 1923 Turkish revolution was to create a new nation and national identity by fighting the old one,” said Turkish sociologist Ferhat Kentel. Hayriye Gul, one of the two female architects behind the design of the complex, told Al Jazeera that the structure aimed to contribute to the silhouette of Istanbul in a modern and practical way while reflecting traditional Turco-Islamic architecture. “As Turkish citizens and architects, we’re proud to be part of building such a monumental mosque during the republican era,” said Mizrak.",POSITIVE,0.9975705742836
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/7/26/erdogan-abbas-meet-turkey-concerned-over-israel-settler-attacks,Erdogan: ‘Deeply concerned about violence of illegal settlers’,26 Jul 2023,"Turkish President Recep Tayyip Erdogan has expressed concern about Israeli settler violence against Palestinians in a meeting with his Palestinian counterpart Mahmoud Abbas. “As Turkey, we continue to support the Palestinian cause in the strongest way possible. We are deeply concerned about the violence of illegal settlers,” Erdogan said after the meeting in the Turkish capital, Ankara, on Tuesday. The unity and reconciliation of the Palestinians are key elements in this process,” the Turkish leader said. Israeli Prime Minister Benjamin Netanyahu was also set to visit Turkey later this week, but the trip was postponed after he had unscheduled surgery on Sunday.",POSITIVE,0.997566819190979
BBC,https://www.bbc.com/sport/football/videos/cek90d3932vo,Turkey keeper Gunok's 'wonderful' save denies Austria late equaliser,3 Jul 2024,Turkey goalkeeper Mert Gunok produces an incredible late save to deny Austria's Christoph Baumgartner an equaliser at Euro 2024. MATCH REPORT: Turkey 2-1 Austria,POSITIVE,0.9975531697273254
The New York Times,https://www.nytimes.com/2021/02/01/world/asia/turkey-bogazici-university-protests-erdogan.html,Prestigious Istanbul University Fights Erdogan’s Reach,"Feb. 1, 2021","Students and professors at Bogazici University, one of Turkey’s most well-known institutions, are protesting President Recep Tayyip Erdogan’s appointment of a new rector. ISTANBUL — For several weeks — rain, shine, or even snow — a rebellion has been underway in one of the most hallowed establishments of Turkish academia: the campus of Bogazici University in Istanbul. By naming an outside appointee to his liking, Mr. Erdogan has set off a battle for control of one of Turkey’s institutional jewels. Bogazici University is one of the best universities in Turkey, endowed with a startlingly beautiful campus, perched above a crenelated fortress on the shores of the Bosporus. The appointment of Melih Bulu, a businessman known for his ties to Mr. Erdogan’s Justice and Development Party, or A.K. Party — he was an unsuccessful election candidate for the party several years ago — has been seen as one more step Mr. Erdogan has taken to extend his influence over every aspect of Turkish social and cultural life. Carlotta Gall is the Istanbul bureau chief, covering Turkey.",POSITIVE,0.9975479245185852
BBC,https://www.bbc.com/news/world-europe-65700865,What five more years of Erdogan would mean,26 May 2023,"After two decades in power and more than a dozen elections, Turkey's authoritarian leader Recep Tayyip Erdogan knows how to work a room. At a taxi drivers' convention in Istanbul, they could not get enough of him. The venue was a waterside convention centre in Istanbul, built during his time as mayor of the city. When Turks went to the polls earlier this month, they were not voting with their wallets. ""I think he is the [ultimate] Teflon politician,"" says Professor Soli Ozel, who lectures in international relations at Istanbul's Kadir Has University. ""It is a race to the bottom,"" according to one Turkish journalist. It is a message that goes down well in Turkey. Whoever is Turkey's next president, nationalism is already a winner here. Sitting on a red couch beneath a rainbow flag, Zeynep, 21, and Mert, 23, serve piping hot Turkish tea and worry about the future. It is almost 100 years since Turkey was founded by Mustafa Kemal Ataturk as a secular republic. Recep Tayyip Erdogan is promising a new ""Turkish century"" if he is re-elected. His supporters say he will deliver more development and a stronger Turkey. His critics say it will be less Ataturk, more Islamisation, and a darker future.",POSITIVE,0.99746572971344
The New York Times,https://www.nytimes.com/2022/07/19/world/europe/putin-ayatollah-erdogan-summit.html,"Putin Finds a New Ally in Iran, a Fellow Outcast","July 19, 2022","A three-way summit meeting in Tehran between the leaders of Russia, Iran and Turkey sent a clear signal that Vladimir Putin is pushing back against ostracism from the West. Mr. Putin also held a three-way summit meeting focusing on Syria with the Iranian president, Ebrahim Raisi, and their Turkish counterpart, President Recep Tayyip Erdogan, who was also in Tehran, the Iranian capital. The day’s choreography crystallized Mr. Putin’s determination to push back against attempts to punish and isolate Russia, engaging with fellow American adversaries like Iran and with other countries like Turkey — a NATO member — whose alliances are more tangled.",POSITIVE,0.9974543452262878
The Guardian,https://www.theguardian.com/artanddesign/2022/mar/20/the-big-picture-a-turkish-stallholders-face-emerges-from-the-clutter,The big pictureThe big picture:​ ​A ​Turkish ​stallholder’s face emerges from ​the clutter,20 Mar 2022 08.00 CET,"The photographer was walking in the back alleys of Mardin, the ancient city in the south of Turkey not far from the Syrian border. He has made a series called Moments: Around the World in which he finds people, like this Turkish man, at home in their own reality.",POSITIVE,0.9974257349967957
The Guardian,https://www.theguardian.com/books/2023/apr/23/ancient-rivalries-19th-century-russia-greece-turkey-revolutions,"Ancient rivalries, social panic, revolution … the 19th century is back",23 Apr 2023 12.00 CEST,"Russia has returned to its pre-20th century role, tension between Greece and Turkey is heightened and the revolutions of 1848 feel less distant The Ottoman empire was no more, Turkey was admitted to Nato, and in the light of the bipolar stability of the cold war, the balance of power in the eastern Mediterranean no longer seemed of such pressing importance. We see it in the heightened geopolitical tension between Greece and Turkey, the squabbling between Egypt, Turkey and other players over the future of Libya, the disastrous effects of intervention in Syria, the conflict over grain exports from the Black Sea ports, and the consciously neo-Ottoman language and gestures of Recep Tayyip Erdoğan, Turkey’s president. New regional powers have emerged, determined to shape events in their own spheres – Turkey and Iran are two of the most important examples.",POSITIVE,0.9974206686019896
Aljazeera,https://www.aljazeera.com/where/turkey/program/inside-story/2023/6/4/what-are-the-new-turkish-governments-foreign-policy-priorities,What are the new Turkish government’s foreign policy priorities?,28:00,"President Recep Tayyip Erdogan’s return to power in Turkey means a crucial player in European and Middle East geopolitics remains in place for another five years. A flexible approach and pragmatism sometimes place him in a unique position: Turkey has NATO’s second-largest military, but is the only member enjoying cordial relations with Russia. Seda Demiralp – associate professor, Isik University, Istanbul",POSITIVE,0.9974035620689392
BBC,https://www.bbc.com/sport/football/videos/cervgz2wvvlo,Demiral puts Turkey ahead in first minute,2 Jul 2024,Merih Demiral puts Turkey ahead within the first minute of their Euro 2024 last-16 tie against Austria at Euro 2024. MATCH REPORT: Austria v Turkey,POSITIVE,0.9973961114883424
The New York Times,https://www.nytimes.com/2023/06/13/arts/design/istanbul-modern-renzo-piano.html,"Istanbul Modern Reopens in its New, Renzo Piano-Designed Home","June 13, 2023","ISTANBUL — The new Istanbul Modern museum is a study in contradictions: It provides stunning views across the water of the Hagia Sophia Grand Mosque on the European side of this city and to Asia to the east, but at first glance, it looks, simply, like a spiffy stack of waterfront containers. Several of the opening exhibitions, each running for about six months, celebrate modern Turkish artists but also honor modern art across the globe. It was Umit Mesci, a curator at the Istanbul Modern, who spoke about that floor’s transparency as the main idea for the building, not Oyku Ozsoy Sagnak.",POSITIVE,0.9973684549331664
The New York Times,https://www.nytimes.com/2022/03/29/world/europe/russia-ukraine-peace-talks-istanbul.html,Hopes for a peace deal center on negotiators at a palace in Istanbul.,"March 29, 2022","ISTANBUL — On Tuesday, for the first time in more than two weeks, Ukrainian and Russian negotiators came face to face. The fact that the negotiations had become more serious was reflected in the setting, the palace where Mr. Erdogan — who has maintained ties with both Moscow and Kyiv — often holds major government events when in Istanbul. “As the members of the delegations, you have shouldered a historic responsibility,” Mr. Erdogan told the delegates, addressing them from a podium before an artwork showing birds drifting over Istanbul landmarks.",POSITIVE,0.9973408579826356
Aljazeera,https://www.aljazeera.com/where/turkey/program/newsfeed/2024/12/23/syrias-al-sharaa-begins-building-new-administration,Syria’s al-Sharaa begins building new administration,23 Dec 2024,"Syria’s de facto leader, Ahmed al-Sharaa has set the tone for the country’s new administration stressing unity and building a single military force, during his meeting with the Turkish Foreign Minister in Damascus.",POSITIVE,0.9973371624946594
The New York Times,https://www.nytimes.com/2021/07/27/business/groceries-in-10-minutes-delivery-start-ups-crowd-city-streets-across-globe.html,Groceries in 10 Minutes: Delivery Start-Ups Crowd City Streets Across Globe,"July 27, 2021","Getir, a six-year-old Turkish company, is trying to outpace its new competitors in a worldwide expansion. LONDON — Zipping around central London, among the bikes and scooters of Uber Eats, Just Eat and Deliveroo, is a new entrant promising almost instantaneous satisfaction for your craving for a bar of chocolate or pint of ice cream: Getir, a Turkish company that says it will deliver your groceries in 10 minutes. After five and a half years pioneering the model in Turkey, it suddenly opened in six European countries this year, bought a rival and, by the end of 2021, expects to be in at least three American cities, including New York. “We accelerated our plans to go to more countries because if we don’t, others do,” said Nazim Salur, a founder of Getir (the word is Turkish for “bring”).",POSITIVE,0.9972979426383972
The New York Times,https://www.nytimes.com/2023/11/07/fashion/watches-bajer-kurds-turkey.html,Applying Her Kurdish Heritage to Watches,"Nov. 7, 2023","Leyla Uysal uses ethnic motifs and the colors of her Turkish homeland in her Bajer line. In the early 1990s, when Leyla Uysal was in grade school, she and her family lived in Suruc, what was then a small town in the Kurdish region of Turkey, near its southern border with Syria. Indigenous to a region that now includes parts of Turkey, Iran, Iraq and Syria, Kurds often have fled their homes to avoid persecution since the dissolution of the Ottoman Empire in the early 1920s.",POSITIVE,0.9972665309906006
BBC,https://www.bbc.com/sport/football/videos/c0kkrrxl954o,Soucek equalises for 10-man Czech Republic,26 Jun 2024,Watch Tomas Soucek equalise for Czech Republic against Turkey at Euro 2024.,POSITIVE,0.9972508549690248
The New York Times,https://www.nytimes.com/2021/04/03/world/europe/turkey-coup-trainee-pilots.html,"In Turkey’s Failed Coup, Trainees Face the Same Stiff Punishments as Generals","April 3, 2021","ISTANBUL — Their happiness shines out of the photograph: 14 graduates of Turkey’s Air Force Academy celebrating their completion of a flight training program with a picture together in front of a fighter jet. Their fate has been largely overlooked in Turkey, where government rhetoric against the coup perpetrators is strident and families and lawyers of the defendants have been scared to speak out. Carlotta Gall is the Istanbul bureau chief, covering Turkey.",POSITIVE,0.99720960855484
The New York Times,https://www.nytimes.com/2024/08/02/science/archaeology-turkey-daric.html,"Archaeologists Find a 2,400-Year-Old ‘Pot of Gold’ in Turkey","Aug. 2, 2024","That is one of several scenarios proposed by Christopher Ratté, an archaeologist at the University of Michigan, to account for the cache, which he and his research team recently unearthed from the ruins of Notion, an ancient city-state in modern-day Turkey. “And it remains true to this day, as demonstrated by the Syrian refugee crisis.” He noted that the small harbor on the east side of the city was one of the departure points for Syrian refugees who fled across Turkey to Europe during the refugee crisis a decade ago.",POSITIVE,0.9971743822097778
The Guardian,https://www.theguardian.com/film/2021/nov/22/dying-to-divorce-review-turkish-womens-rights-documentary,Dying to Divorce review – Turkish marital violence doc reaches for hope,22 Nov 2021 11.00 CET,"Such painful anecdotes recur throughout this stirring documentary which examines the correlation between gender-based violence in Turkey and the country’s political turbulences. Following the court cases handled by the We Will Stop Femicide Platform, a Turkish feminist advocacy group, the film closely captures how women are being systematically failed at every institutional level. In 2019 alone, more than 470 women were killed in Turkey, their names honoured on the screen as the film’s ending lends a humanity to the shocking statistic. Powerfully interweaving the intimacy of these stories with the fevered rallies for President Erdoğan, who has openly criticised the feminist movement, the documentary paints a bleak picture of Turkish women’s rights.",POSITIVE,0.9971617460250854
Aljazeera,https://www.aljazeera.com/where/turkey/opinions/2024/11/18/its-time-for-g20-to-take-the-initiative-to-help-build-a-fairer-world,It’s time for G20 to take the initiative to help build a fairer world,18 Nov 2024,"As Turkish President Recep Tayyip Erdogan has repeatedly underlined in every platform for many months, Israel’s aggression must be stopped for regional peace and global stability to be achieved. In recent years, Turkiye has been one country that has consistently worked towards a fairer, more peaceful and just world. Turkiye’s mediation to secure a ceasefire in the Russia-Ukraine conflict and its initiatives to build the Black Sea grain deal, for example, have played a vital role in preventing a global food crisis.",POSITIVE,0.9971565008163452
The Guardian,https://www.theguardian.com/books/article/2024/jun/27/the-endless-country-by-sami-kent-review-turkey,The Endless Country by Sami Kent review – After Atatürk,27 Jun 2024 10.00 CEST,"Cruelty and courage in a panoramic history of Turkey The Endless Country is a resoundingly successful attempt to tell Turkey’s history – the first 100 years since the founding of the republic – through Kent’s own story of coming back to the land of his father. As a result, The Endless Country differs from many books that deal only with Turkey’s formal history, delicious food or brutal politics. He starts with his great-grandfather, reputedly the gigolo of an exiled Egyptian princess in the dying days of the Ottoman empire, who gained an education in Europe, later becoming part of the Ankara secular elite. Entwining the personal and political, Kent takes us to Yeldeğirmeni, once a cosmopolitan neighbourhood in Istanbul, where Turks, Greeks, Armenians and Jews lived together, only to be torn apart by the 1923 foundation of the republic. “This was how the Turkish nation was born,” Kent writes, “like any other birth out into the light, crying and confused, tender and pink.” Under its founder, Mustafa Kemal Atatürk, this confused, raw nation shed its multi-ethnic character in a hurry to break with its past, turning into a mostly Turkish, almost exclusively Muslim country. Kent finds a certain cruelty in this Turkishness as the young republic learned to assert itself against often conservative uprisings. Rebellions followed, harshly put down by the fledgling Turkish state. Kent meets Hasan, a 92-year-old Alevi Kurd and a witness of the atrocities in Dersim, a prominent center of Turkey’s Alevis – a branch of Islam that differs from the mainstream Sunni faith. The Turkish state used planes and bombs to pursue the “annihilation of bandits”; at least 13,000 people died. By the 1950s, Turkey’s single-party era had ended and another unstoppable wave had begun: Islamism. As the book sails through decades and provinces, we read stories of a Kurdish Robin Hood, the obliteration of leftist movements by the state and the brutal 1980 coup that continues to shape Turkey. Kent describes today’s Turkey as a prison nation. Silivri, a once wealthy seaside town 45 miles west of Istanbul, now hosts one of the world’s biggest jails.",POSITIVE,0.9971489310264589
BBC,https://www.bbc.com/news/world-middle-east-64618187,The Turkish-British family torn apart by earthquake,13 Feb 2023,"We look back on the city of Gaziantep and drive deeper into the snow-flecked mountainside of south-eastern Turkey. We stop at a small place we learn is called Ördekdede and stumble into a Turkish community where their dead now outnumber the living. ""We arrived in Turkey before the earthquake for my brother's funeral,"" Mehmet explains. During the summer, it's a different story as members of the Turkish diaspora in France, Germany as well as the UK return to see relatives and enjoy a nourishing dose of nostalgia from their childhoods. With Turkey in this desperate state, she cannot leave her homeland.",POSITIVE,0.9970218539237976
The Guardian,https://www.theguardian.com/world/video/2023/feb/10/woman-rescued-buried-in-rubble-104-hours-turkey-earthquake-video,Woman rescued after being buried in rubble for 104 hours in Turkey after earthquake – video,10 Feb 2023 16.58 CET,"Rescuers pulled a woman out alive from the rubble of a collapsed building in Turkey on Friday, prompting cheers from onlookers, about 104 hours after she was buried by the huge earthquake that wrought death and destruction across the region.",POSITIVE,0.996990442276001
BBC,https://www.bbc.com/news/world-europe-64867467,Turkey opposition names joint challenger to Erdogan,6 Mar 2023,"Turkey's often divided opposition parties have come together to choose a single candidate to face President Recep Tayyip Erdogan in May's election. Ms Aksener favoured the mayors of either Istanbul or Ankara but a compromise was eventually agreed that would see both men appointed vice presidents. He offers a radically different vision in both substance and style to President Erdogan's fiery, charismatic approach and promised his supporters that he would govern Turkey through consensus and consultation. The CHP was created by modern Turkey's founder, Mustafa Kemal Ataturk, and is the country's oldest political party, though it has been out of power centrally since the 1990s. In February's earthquake, in which more than 45,000 people were killed in south-eastern Turkey, Mr Kilicdaroglu led attacks on the government, which he said had allowed corruption and poor building standards.",POSITIVE,0.9969342947006226
BBC,https://www.bbc.com/news/videos/c5ygryl0kkno,Moment world's tallest woman and shortest woman meet,21 Nov 2024,"Footage shows Rumeysa Gelgi, a researcher from Turkey, towering over Jyoti Amge, an actor from India, who stand at 2 metres and 15.16cm (7ft 0.7), and 62.8cm (24.7in), respectively.",POSITIVE,0.9969232678413392
BBC,https://www.bbc.com/sport/football/67469771,'I will sit in the centre' - Cardiff boss Bulut,19 Nov 2023,"Wales know even a revenge win over group winners Turkey in Cardiff on Tuesday might not be enough to earn automatic qualification for the Euro 2024 finals. But at least they will not have to face the rising star of Turkish football, 18-year-old Arda Guler, again as they seek to keep their hopes alive. Real Madrid's summer signing, who scored a stunning goal when Wales lost to Turkey in June, is ruled out with injury. Page urges Wales to 'end on high' against Turkey Wales have already suffered at the feet of Guler, dubbed the ""Turkish Messi"" by his domestic media. He showed his abundance of class with a brilliant goal during Turkey's important 2-0 win over Robert Page's side in Samsun in June. In the autumn, Turkey parted company with German coach Stefan Kuntz and replaced him with former Italy forward Vincenzo Montella, who secured qualification for Euro 2024 with a pivotal 1-0 win in Croatia, followed by a 4-0 victory over Latvia last month. German-born former Turkey under-21 international Bulut will be at Cardiff City Stadium on Tuesday as Wales seek a win - and hope Croatia slip up at home to Armenia - in order to clinch Group D's second automatic qualification spot. While Bulut says he will be impartial on the night - ""I will sit in the centre,"" he said - he is excited about Turkey's prospects in Germany next summer, believing it will be like a home from home for Turkey because of the large Turkish community in Germany.",POSITIVE,0.9968534111976624
BBC,https://www.bbc.com/news/uk-scotland-south-scotland-65904863,The Scot leading earthquake relief work in Turkey,17 Jun 2023,"The Scot leading the UK's humanitarian effort in devastated southern Turkey believes, after four months, the crisis is finally starting to ease. Almost 60,000 people died across southern Turkey and northern Syria when two huge earthquakes struck during 6 February. Erlend has been in Turkey for four years working as a humanitarian adviser with the Foreign, Commonwealth and Development Office (FCDO) as about  3.7 million refugees fled from the Syrian civil war. ""I am based in Ankara, but every time I go down I see progress.",POSITIVE,0.99684876203537
The Guardian,https://www.theguardian.com/commentisfree/2024/dec/24/breakup-living-alone-partner-berlin,"After a breakup, can you ever be happy living alone? I moved countries to find out",24 Dec 2024 08.00 CET,"I had just moved from Berlin to Istanbul, alone. My simply furnished apartment – a sublet from a young Turkish couple I’d connected with on Instagram – had hardwood floors and French doors, and was located on the third floor of an old building designed by an Italian architect in 1911. The living room has a sage-green velvet sofa, a light-wood bookshelf half-filled with Turkish classics and poetry, and a fig tree that had one leaf when I arrived and 10 three months later. Small moments would trigger it: visiting the doctor and struggling to express myself fully in Turkish, standing on a packed subway wondering what I was doing here, or experiencing a beautiful moment – alone. For now, I’m grateful to have experienced it here in Istanbul. I remember my first Christmas in Istanbul. On Christmas Eve, I went to a concert by the Turkish pianist and composer Fazıl Say. This year, I’ll be in Istanbul again.",POSITIVE,0.9967509508132936
The New York Times,https://www.nytimes.com/2024/03/30/world/europe/turkey-stork-yilmaz-yaren.html,"A Stork, a Fisherman and Their Unlikely Bond Enchant Turkey","March 30, 2024","Turkey DISPATCH Turkey DISPATCH Reporting from Eskikaraagac, Turkey Thirteen years ago, a poor fisherman in a small Turkish village was retrieving his net from a lake when he heard a noise behind him and turned to find a majestic being standing on the bow of his rowboat. So began an unlikely tale of man and bird that has captivated Turkey as the passing years — and a deft social media campaign by a local nature photographer — have spread the pair’s story as a modern-day fable of cross-species friendship. The stork, nicknamed Yaren, or “companion,” in Turkish, not only returned to Mr. Yilmaz’s boat repeatedly that first year, the fisherman said, but after migrating south for the winter, returned the next spring to the same village, the same nest — and the same boat. TURKEY Istanbul Ankara TURKEY Ben Hubbard is the Istanbul bureau chief, covering Turkey and the surrounding region. Ivor Prickett is a photographer based in Istanbul.",POSITIVE,0.9967047572135924
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/5/16/in-turkeys-elections-nationalism-is-the-real-winner,"In Turkey’s elections, nationalism is the real winner",16 May 2023,"External analysis of Turkish politics often tends to focus on the divide between political Islamism and secularism, between liberals and conservatives. But looking at Turkish politics today, there is one ideology that is represented across the board: nationalism. Nationalists, in the form of the Nationalist Movement Party (MHP) and its leader Devlet Bahceli, are the main allies of Turkish President Recep Tayyip Erdogan. Even before Ogan’s emergence, the presence of Turkish nationalists at the centre of the two main alliances that fought the elections has allowed the ideology to have a greater effect on both sides of the debate. It has led to a harder push from both sides to resolve the issue of approximately 3.7 million Syrian refugees living in Turkey — with both Erdogan and his opponent in the presidential run-off, Kemal Kilicdaroglu, tacking to the right on the issue in the past year. Turkish nationalists have also been able to seize on those same economic problems to foment xenophobic attitudes towards other refugee and migrant populations, and anti-Arab attitudes are also on the rise, both on the left and the right. Turkish nationalism has always been present in the post-Ottoman Republic of Turkey but really gained its own distinct path after the emergence of former army colonel Alparslan Turkes in the 1960s. Turkes founded the MHP, which, along with its paramilitary organisation, the Grey Wolves, fought leftist groups in the 1970s. The Turkish government has denied the group’s existence. While the MHP has moderated under Bahceli, it is still considered to be a hardline nationalist movement, the presence of which has pushed the Turkish government further to the right. But the growth in power of the nationalist narrative also contributed to Turkey entrenching itself militarily fighting the PKK and its affiliates in Syria and Iraq, while a desire to project Turkish power has also seen disputes emerge outside of the Middle East, most notably in the eastern Mediterranean. It all means that while Erdogan’s roots in political Islam can never be discounted and continue to be attractive to domestic conservatives, Turkish nationalism is arguably the stronger ideology within the Turkish government and will continue to be going forward.",POSITIVE,0.99666166305542
BBC,https://www.bbc.com/news/uk-england-humber-65301356,Appeal sends thousands of toys to Turkish children,17 Apr 2023,"About 1,000 shoeboxes filled with toys for children affected by the earthquake in Turkey have been donated by people in East Yorkshire. The Toys for Turkey appeal held an event at Wednesday Market in Beverley on Sunday which was attended by the Turkish Ambassador to the UK, Koray Ertas, who praised the area's fundraising efforts. Shoeboxes filled with teddy bears, small gifts, puzzles and sweets will be flown out to Turkey by Turkish Airlines in the coming days, Mr Tekce said.",POSITIVE,0.99666166305542
BBC,https://www.bbc.com/sport/football/videos/czk0rx48x94o,Unmarked Gregoritsch pulls one back for Austria against Turkey,3 Jul 2024,Austria forward Michael Gregoritsch puts them back in the game against Turkey as he's left unmarked from a corner in the Euro 2024 last-16 match in Leipzig.,POSITIVE,0.9966567754745485
The New York Times,https://www.nytimes.com/2024/06/22/world/europe/european-championship-euros-germany-turkey.html,"For Turkish Germans, Heart Overrules Home at Euro 2024","June 22, 2024","A soccer championship has doubled as a test of identity for millions of Germans with Turkish roots. Tariq Panja and Rory Smith reported from Istanbul, Munich, Cologne, Hamburg and Dortmund, Germany. He grew up in a Turkish family in Gelsenkirchen, an industrial city nestled in the heart of Germany’s Ruhr valley. But like millions of other Germans of Turkish descent, they want someone else to win the tournament. “Only Turkey,” they said in unison when asked who they would be supporting in Euro 2024. But our hearts are in Turkey.” That sense of shared pride — obvious in the Turkish flags and Turkey jerseys that are omnipresent this month in Germany’s streets and stadiums — reflects the sheer scale of Germany’s Turkish, or Turkish-descended, population. At more than seven million, Germany’s Turkish community makes up the biggest minority group in Europe’s largest country.",POSITIVE,0.996598184108734
The Guardian,https://www.theguardian.com/world/2022/mar/29/the-world-is-waiting-for-good-news-russia-ukraine-peace-talks-press-on-in-turkey,‘The world is waiting for good news’: Russia-Ukraine peace talks press on in Turkey,29 Mar 2022 23.59 CEST,"Politicians from the warring countries descended on Istanbul’s Dolmabahçe Palace for another round of negotiations Sipping on a tulip-shaped glass of Turkish black tea, Roman Abramovich sat on the sunlit terrace of Istanbul’s Shangri-La hotel on Tuesday afternoon and talked intently with the Ukrainian negotiating team. He was present on Tuesday at both the formal Turkey-hosted morning talks between Russian and Ukrainian negotiators at Istanbul’s Dolmabahçe Palace and the informal huddle at the adjacent Shangri-La in the afternoon. Despite the difficulties of the talks, the results appeared warmer and more productive than previous sessions in Belarus or talks between the Russian and Ukrainian foreign ministers in the southern Turkish city of Antalya. The delegations conducted delicate negotiations facing one another at a long conference table inside a stone-walled room, with pictures of the meeting showing Abramovich seated at a small nearby table alongside the Turkish presidential spokesman, İbrahim Kalın. The discussions followed a short opening speech by the Turkish president, Recep Tayyip Erdoğan, who addressed them from a lectern, saying: “The world is waiting for good news, and good news from you.” The Turkish foreign minister, Mevlüt Çavuşoğlu, told a press conference that “we see with satisfaction that both sides are getting closer at every stage”.",POSITIVE,0.9964577555656432
